day,account,carousel,concept,occasion,format,hook,caption,posted_at,views_48h,likes,comments,shares,saves,profile_visits,link_clicks,notes
,tt-couple,39,8:04,1-year anniversary,text carousel,he made me wait 12 hours to open it,he made me wait 12 hours and then it opened at 8:04 😭 could u have waited?,,,,,,,,,variation of 30 (the viral one)
,tt-couple,35,come find me,her birthday (long distance),crying photo + chat,"hes 1,071 miles away and still made me cry on my birthday",long distance and he still made me cry on my birthday 😭 how far apart are u and urs?,,,,,,,,,her POV
,tt-couple,36,no funeral required,his birthday,crying photo + chat,i told her men only get flowers at their funeral,she heard me say men only get flowers at their funeral 😭 boys when did u last get flowers?,,,,,,,,,his POV (or tt-him)
,tt-couple,37,why i like u,6 months,crying photo + chat,i asked him why he even likes me. hes had a list since week 2,asked him why he likes me and he said no idea 😭 what would be #1 on ur list?,,,,,,,,,her POV
,tt-couple,38,the drive home,1-year anniversary,crying photo + chat,she found the song from the first time i drove her home,our 1 year and she found the song from the first time i drove her home 😭 whats ur song with ur person?,,,,,,,,,his POV (or tt-him)
1,tt-couple,30,first one to say it,her birthday,text carousel,he had to be the first one to say it,he had to be the first one to say it 😭 whos first to text u on ur birthday?,,,,,,,,,
1,tt-ideas,slideshow 1,he wants nothing for his birthday,his birthday,problem slideshow,"If he says he wants nothing for his birthday, do this",birthday gift ideas for boyfriend,,,,,,,,,
2,tt-couple,29,365 days of u,1-year anniversary,text carousel,"he said ""1 year of what"" 😭",1 year today 🥹 how long have u been with urs?,,,,,,,,,
2,tt-ideas,slideshow 2,before our first anniversary,1-year anniversary,problem slideshow,I wish someone told me this before our first anniversary,anniversary gift ideas for her,,,,,,,,,
3,tt-couple,33,for the boy who wanted nothing,his birthday,text carousel,he said he wanted nothing for his birthday,he said he wanted nothing for his birthday 🥹 men deserve this too,,,,,,,,,
3,tt-ideas,slideshow 3,stop spending £100,anniversary,problem slideshow,Stop spending £100 on your anniversary,anniversary gift ideas cheap,,,,,,,,,
4,tt-couple,31,table for two,first-date anniversary,text carousel,a year since i was 15 mins late to our first date,a year since our first date. i was 15 mins late. he says 20. where was ur first date? 🥡,,,,,,,,,
4,tt-ideas,slideshow 4,long distance gift ideas,long distance,problem slideshow,Long distance gift ideas that actually made her cry,long distance gift ideas,,,,,,,,,
5,tt-couple,24,green flag or bare minimum,his birthday,text carousel,,he sent me this before i even asked. green flag or bare minimum?,,,,,,,,,
5,tt-ideas,slideshow 5,last-minute anniversary gifts,anniversary,problem slideshow,Last-minute anniversary gifts that don't look last-minute,last minute anniversary gift ideas,,,,,,,,,
6,tt-couple,25,where i post u (part 1),just because,text carousel,,he never posts me. then he sent this. should i open it or am i still mad 😭,,,,,,,,,
6,tt-ideas,slideshow 6,birthday card when bad at words,his birthday,problem slideshow,What to write in his birthday card when you're bad at words,what to write in a birthday card for your boyfriend,,,,,,,,,
7,tt-couple,26,where i post u (part 2),just because,text carousel,,"part 2. ""this is where i post u"" 😭 @jordan",,,,,,,,,tag his account
7,tt-ideas,(best slideshow so far),,,problem slideshow,(new hook from the bank),,,,,,,,,,
8,tt-couple,30,first one to say it,her birthday,text carousel,"23:58 ""stay awake 2 more mins"" 😭",he had to be the first one to say it 😭 whos first to text u on ur birthday?,,,,,,,,,
8,tt-ideas,(best slideshow so far),,,problem slideshow,(another new hook),,,,,,,,,,
9,tt-couple,29,365 days of u,1-year anniversary,text carousel,our 1 year and he counted how many times i stole the duvet,1 year today 🥹 how long have u been with urs?,,,,,,,,,
9,tt-ideas,(best slideshow so far),,,problem slideshow,(another new hook),,,,,,,,,,
10,tt-couple,33,for the boy who wanted nothing,his birthday,text carousel,men deserve this too 🥹,he said he wanted nothing for his birthday 🥹 men deserve this too,,,,,,,,,
10,tt-ideas,(second-best slideshow),,,problem slideshow,(new hook from the bank),,,,,,,,,,
11,tt-couple,31,table for two,first-date anniversary,text carousel,he remembered the restaurant AND how late i was,a year since our first date. i was 15 mins late. he says 20. where was ur first date? 🥡,,,,,,,,,
11,tt-ideas,(second-best slideshow),,,problem slideshow,(another new hook),,,,,,,,,,
12,tt-couple,(best so far),,,text carousel,(hook 3),,,,,,,,,,
12,tt-ideas,(new slideshow),,(the winning occasion),problem slideshow,,,,,,,,,,,
13,tt-couple,(second best),,,text carousel,(hook 3),,,,,,,,,,
13,tt-ideas,(new slideshow),,(the winning occasion),problem slideshow,,,,,,,,,,,
14,tt-couple,(third best),,,text carousel,(hook 3),,,,,,,,,,
14,tt-ideas,(new slideshow),,(the winning occasion),problem slideshow,,,,,,,,,,,
